"sk_grupo","sk_autor","sk_fechado_por","sk_sprint","sk_data_criacao","criado_em","sk_data_atualizacao","atualizado_em","sk_data_fechamento","fechado_em","sk_data_prazo","prazo_em","cartao_numero","titulo","descricao","situacao","peso","comentarios","tempo_estimado_s","tempo_gasto_s","responsaveis_ids","rotulos","grupo"
"1","13","13","1","20260422","2026-04-22T17:38:42.296Z","20260502","2026-05-02T03:01:35.245Z","20260422","2026-04-22T17:50:07.148Z","-1","","1","Análise das 5 forças de Porter","","closed","","0","0","0","G01-A13","ART.01;BUG;DOCUMENTATION;NEGÓCIOS;P","G01"
"1","14","15","1","20260422","2026-04-22T17:39:16.797Z","20260427","2026-04-27T18:37:54.103Z","20260427","2026-04-27T18:37:53.737Z","-1","","2","Redação de introdução - Seção 1","Redação de Introdução sobre a problemática do parceiro e o G01-A26 em que vamos trabalhar","closed","","0","0","0","[externo]","ART.01;DOCUMENTATION;M","G01"
"1","14","15","1","20260422","2026-04-22T17:45:25.243Z","20260424","2026-04-24T11:59:31.493Z","20260424","2026-04-24T11:59:31.326Z","-1","","3","Análise das 5 Forças de Porter - Seção 2.1.1","Análise das 5 Forças de Porter em relação ao parceiro","closed","","0","0","0","G01-A13","ART.01;M;NEGÓCIOS","G01"
"1","14","15","1","20260422","2026-04-22T17:47:07.492Z","20260502","2026-05-02T03:02:24.341Z","20260502","2026-05-02T01:50:21.177Z","-1","","4","Matriz SWOT - Seção 2.1.2","Realizar a Matriz SWOT em relação ao parceiro","closed","","0","0","0","G01-A23","ART.01;M;NEGÓCIOS","G01"
"1","14","15","1","20260422","2026-04-22T17:48:41.064Z","20260504","2026-05-04T14:25:19.612Z","20260504","2026-05-04T14:25:19.607Z","-1","","5","Descrição da solução - Seção 2.1.3","Descrever o problema a [externo] resolvido, explicar a forma de utilização, listar benefícios e definir critérios de sucesso e avalição","closed","","0","0","0","G01-A15","DOCUMENTATION;M","G01"
"1","14","15","1","20260422","2026-04-22T17:50:37.160Z","20260502","2026-05-02T01:50:15.708Z","20260502","2026-05-02T01:50:15.551Z","-1","","6","Canvas de proposta de valor - Seção 2.1.4","Realizar o Canva de proposta de valor em relação ao parceiro","closed","","0","0","0","G01-A17","ART.01;DOCUMENTATION;M;NEGÓCIOS","G01"
"1","14","15","1","20260422","2026-04-22T17:51:33.506Z","20260502","2026-05-02T02:56:10.889Z","20260502","2026-05-02T02:56:10.764Z","-1","","7","Matriz de Riscos - Seção 2.1.5","Realizar a Matriz de Risco em relação ao parceiro","closed","","0","0","0","G01-A14","ART.01;M;NEGÓCIOS","G01"
"1","14","12","1","20260423","2026-04-23T17:17:42.111Z","20260501","2026-05-01T23:43:53.026Z","20260501","2026-05-01T23:43:52.898Z","-1","","8","Criação de personas - Seção 2.2","Definir 2 a 3 personas com base no problema 

Criar perfis de usuários representativos, incluindo contexto, comportamento e objetivos.

 Descrever dores, necessidades e expectativas das personas Detalhar como cada persona se relaciona com o problema e a solução.","closed","","0","0","0","[externo]","ART.02;DESIGN;M","G01"
"1","14","12","1","20260423","2026-04-23T17:20:23.299Z","20260501","2026-05-01T23:43:50.699Z","20260501","2026-05-01T23:43:50.487Z","-1","","9","Criação de User Storie 1 - Seção 2.3","Criar backlog inicial com no mínimo 10 User Stories 

Escrever histórias no formato “Como \[persona\], quero \[ação\] para \[benefício\]”.

 Definir critérios de aceite claros e testáveis 

Garantir que cada User Story possa [externo] validada objetivamente.

 Priorizar e organizar backlog (US01–US10+) 

Ordenar as histórias conforme importância para o desenvolvimento inicial.

Aplicar e explicar INVEST nas 5 principais histórias 

Justificar como cada User Story prioritária atende aos critérios INVEST.","closed","","0","0","0","[externo]","ART.02;DESIGN;G","G01"
"1","14","12","1","20260423","2026-04-23T17:21:58.465Z","20260502","2026-05-02T03:02:08.930Z","20260501","2026-05-01T23:43:49.248Z","-1","","10","Criação de User Storie 2 - Seção 2.3","","closed","","1","0","0","G01-A23","ART.02;DESIGN;M","G01"
