grupo,mr_numero,titulo,descricao,situacao,criado_em,atualizado_em,merged_em,fechado_em,branch_origem,branch_destino,autor_id,merged_por_id,revisores_ids,responsaveis_ids,e_rascunho,comentarios,sprint,rotulos
G01,1,docs(wad) adiciona introducao #2,Paragrafo introdutorio do WAD,merged,2026-04-27T17:07:44.357Z,2026-04-27T17:26:44.796Z,2026-04-27T17:26:43.640Z,,feat/wad/adicionar-introducao,main,[externo],G01-A15,,,0,0,,
G01,2,docs(WAD): Adiciona a imagem e o texto da matriz swot na seção 2.1.2 #17,Adicionei a imagem e o texto da matriz swot,merged,2026-04-27T17:48:49.275Z,2026-04-27T17:49:28.063Z,2026-04-27T17:49:27.152Z,,docs/WAD/adicionar-analise-swot,main,G01-A15,G01-A12,,,0,0,,
G01,3,Docs/5 forças wad,"Muda todo o texto da seção 2.1.1 referente a análise de Poter's para a voz passiva analitica, adicioana uma introdução a seção e adiciona a imagem referente a analise .",merged,2026-04-27T18:40:08.476Z,2026-04-27T18:50:45.208Z,2026-04-27T18:50:44.869Z,,docs/5-forças-wad,main,G01-A12,G01-A15,,,0,0,,
G01,4,docs: adiciona seção 2.1.3 wad.md #24,"Adicionei o texto da seção 2.1.3 do WAD, a que fala sobre a descrição da solução.",merged,2026-04-27T18:53:02.242Z,2026-04-27T18:53:54.926Z,2026-04-27T18:53:54.274Z,,docs/descricao-solucao-wad,main,G01-A13,[externo],,G01-A13,0,0,Sprint 01,
G01,5,Docs/canvas de proposta de valor/#6,,merged,2026-04-27T19:40:23.607Z,2026-04-28T18:44:34.423Z,2026-04-28T18:44:34.540Z,,docs/Canvas-De-Proposta-De-Valor/#6,main,G01-A17,[externo],,G01-A17,0,0,,
G01,6,doc(wad): Matriz de Riscos,Análise da matriz de riscos realizada.,merged,2026-04-27T23:48:41.368Z,2026-04-28T12:21:20.414Z,2026-04-28T12:21:19.479Z,,doc/wad/Matriz-De-Riscos/#7,main,G01-A14,[externo],,G01-A14,0,0,Sprint 01,ART.01;NEGÓCIOS
G01,7,docs(wad):Coloca requisitos funcionais #11,Coloquei a tabela com os requisitos,merged,2026-04-28T18:12:37.800Z,2026-04-28T18:16:39.804Z,2026-04-28T18:16:39.430Z,,docs/WAD/Coloca-requisitos-funcionais/#11,main,G01-A15,G01-A17,,,0,0,,
G01,8,docs(wad): adiciona requisito não funcional #13,,merged,2026-04-28T18:19:58.839Z,2026-04-28T18:46:16.487Z,2026-04-28T18:46:15.681Z,,docs/wad.md/adiciona-requisitos-nao-funcionais,main,G01-A16,[externo],,,0,0,,
G01,9,Docs/regras de negócio/#12,,merged,2026-04-28T18:38:03.250Z,2026-04-28T18:44:36.289Z,2026-04-28T18:44:34.836Z,,docs/regras-de-negócio/#12,main,G01-A17,[externo],,G01-A17,0,1,Sprint 01,DOCUMENTATION;NEGÓCIOS
G01,10,Docs/wad/secao 2.2 referente as personas,Preenche a seção 2.2 referente as personas no wad,merged,2026-04-28T18:56:45.551Z,2026-04-28T19:02:05.993Z,2026-04-28T19:02:04.546Z,,docs/wad/secao-2.2-referente-as-personas,main,G01-A12,G01-A14,,G01-A12,0,0,,
